s_id,u_id,return_count,returns nms,return_count similar,nonreturn_count,return_shape
760,1893,4,2,0,1,2
760,8420,3,0,0,2,2
760,5524,7,4,2,9,1
760,2489,3,3,0,2,0
760,5107,10,8,0,1,1
760,3587,2,2,0,3,0
760,640,3,1,1,11,1
760,941,0,0,0,3,0
760,758,0,0,0,10,0
760,5024,5,0,0,5,5
760,808,5,4,1,0,0
760,1443,4,3,1,1,0
760,3338,2,2,0,3,0
760,1683,5,5,0,0,0
760,10191,10,4,1,1,5
760,4727,2,0,0,3,2
760,2196,12,7,1,6,4
760,7419,5,2,1,1,0
760,5362,7,0,3,0,2
760,1505,7,4,2,5,1
760,506,15,12,0,2,3
760,314,6,4,0,0,2
760,2439,5,3,0,5,2
760,2756,2,1,0,3,1
760,4637,12,6,0,0,6
760,1844,2,0,0,3,2
760,1665,3,1,0,2,2
760,539,3,3,0,2,0
760,3869,3,2,1,2,0
760,8304,5,1,1,0,1
760,1454,2,1,0,3,1
511,1470,2,0,0,3,2
511,1598,4,0,1,1,0
511,735,0,0,0,4,0
511,906,5,1,1,0,2
511,2527,4,2,0,1,1
511,1093,0,0,0,5,0
511,619,3,2,0,2,1
511,356,0,0,0,5,0
511,1671,4,2,1,1,1
511,509,1,0,1,9,0
511,506,3,0,1,7,2
511,1109,0,0,0,4,0
511,615,0,0,0,8,0
511,702,0,0,0,3,0
511,1908,0,0,0,5,0
511,1766,2,0,0,2,2
511,1562,0,0,0,5,0
511,1951,1,0,1,2,0
511,1350,7,5,0,3,1
511,1329,0,0,0,5,0
511,2500,5,2,1,0,2
511,2046,2,1,0,3,0
511,1826,4,2,0,1,1
511,1673,0,0,0,5,0
511,1553,0,0,0,5,0
511,1309,0,0,0,4,0
511,840,0,0,0,5,0
511,1153,0,0,0,5,0
511,1464,5,1,1,0,3
511,1072,0,0,0,5,0
511,777,0,0,0,4,0
511,1805,3,2,0,2,0
511,1585,0,0,0,5,0
511,1294,0,0,0,5,0
511,748,0,0,0,3,0
511,2133,4,2,0,1,1
511,1516,11,7,1,4,2
511,1664,5,1,0,0,3
511,1691,4,2,1,1,1
511,2416,5,3,0,0,2
511,911,0,0,0,3,0
511,2227,4,3,0,1,1
511,1019,4,0,2,1,2
511,1077,0,0,0,5,0
511,1632,0,0,0,5,0
511,2129,0,0,0,5,0
511,1999,1,1,0,4,0
511,646,4,2,1,1,1
511,845,0,0,0,8,0
511,2055,3,1,1,2,1
511,1474,4,1,1,1,1
511,644,0,0,0,3,0
511,975,0,0,0,2,0
511,487,5,4,1,0,0
511,2068,5,2,0,0,2
511,2502,5,2,0,0,1
511,1260,0,0,0,5,0
511,970,0,0,0,3,0
511,1236,1,1,0,4,0
511,2451,3,1,1,2,1
511,1467,4,2,1,1,0
511,703,0,0,0,5,0
511,1543,5,2,1,0,0
511,914,0,0,0,5,0
511,1887,6,1,0,4,5
511,2417,0,0,0,5,0
511,815,0,0,0,3,0
511,1250,4,1,0,1,2
511,1290,4,0,0,0,3
511,2179,5,1,0,0,3
511,1515,4,0,1,1,1
511,1626,0,0,0,5,0
511,673,9,2,2,15,4
511,1214,0,0,0,5,0
511,1620,4,2,1,1,1
511,302,0,0,0,4,0
511,1895,0,0,0,5,0
511,2264,4,1,2,1,1
511,1576,4,0,0,1,0
511,1875,4,1,0,1,3
511,850,0,0,0,5,0
511,1005,1,0,0,4,1
511,2498,5,2,1,0,0
511,2057,2,1,0,1,1
511,2236,4,2,0,1,2
511,2188,5,1,1,0,1
511,1061,0,0,0,5,0
511,1049,0,0,0,5,0
511,577,4,2,0,6,1
511,2388,4,1,1,1,0
511,1757,5,2,1,0,1
511,1458,1,0,0,4,1
511,2355,3,0,0,0,2
511,2221,3,2,0,2,0
511,618,0,0,0,6,0
511,878,0,0,0,5,0
511,1536,2,1,0,3,0
511,1481,0,0,0,5,0
511,603,0,0,0,3,0
511,668,0,0,0,5,0
511,1828,3,2,0,2,1
511,502,0,0,0,4,0
511,1471,3,0,1,2,1
511,2450,5,0,0,0,5
511,939,5,3,1,0,1
511,1229,2,2,0,3,0
511,1196,0,0,0,3,0
511,1486,1,1,0,4,0
511,2176,5,1,0,0,3
511,897,0,0,0,5,0
511,1456,2,0,1,1,0
511,2098,0,0,0,5,0
511,625,3,1,0,5,0
511,1006,0,0,0,4,0
511,643,0,0,0,4,0
511,640,3,1,1,3,1
511,559,0,0,0,24,0
511,2076,3,1,0,2,1
511,1534,4,2,0,1,1
3314,3669,5,3,1,0,0
3314,4893,8,2,2,3,4
3314,18185,5,2,0,0,2
3314,7060,10,1,0,0,3
3314,4896,5,0,0,5,2
3314,2578,1,0,0,4,0
3314,3721,3,1,1,2,0
3314,577,4,1,2,3,1
3314,15042,3,2,0,2,1
3314,13794,5,2,1,0,0
3314,15039,0,0,0,5,0
3314,15386,2,1,0,3,1
3314,7632,5,2,0,5,3
3314,9393,9,7,0,1,2
3314,2213,31,9,5,9,13
3314,12469,5,4,1,0,0
3314,15827,0,0,0,5,0
3314,3450,16,3,5,4,7
3314,1361,4,1,2,5,0
3314,5515,5,5,0,0,0
3314,8272,5,1,2,0,2
3314,4233,5,2,1,0,0
3314,3586,3,0,1,2,0
3314,1236,6,3,0,9,0
3314,4052,2,0,2,3,0
3314,3550,6,2,1,5,3
3314,6098,8,4,1,2,2
3314,5863,4,3,0,1,1
3314,10113,5,1,3,10,1
3314,6090,6,2,0,0,4
3314,703,4,2,0,1,2
3314,9660,8,7,0,2,1
3314,5948,3,2,0,1,0
3314,3542,4,2,0,1,1
3314,1357,4,0,1,1,2
3314,2466,3,0,0,3,3
3314,1221,4,2,0,1,1
3314,5781,6,0,1,14,4
3314,7116,4,2,1,0,1
3314,3788,5,2,1,5,2
3314,6656,7,3,1,3,1
3314,4612,5,1,1,0,2
3314,13434,5,2,0,0,2
3314,7992,5,0,3,0,2
3314,10878,4,1,1,1,2
3314,3595,13,7,3,9,2
3314,1714,12,5,1,2,5
