u_id,s_id,o_id,return_count,return_count nms,return_count similar,nonreturn_count,return_shape,return_budget
1516,761,1113,5,5,0,0,0,0
506,760,1115,5,3,0,1,2,0
509,3314,1114,3,2,1,2,0,0
3326,338,1116,3,0,0,2,2,1
3676,2660,1099,5,3,2,0,0,0
3696,2660,1100,3,0,3,2,0,0
3785,338,1111,3,1,0,2,2,0
3820,2660,1122,0,0,0,5,0,0
3741,338,1106,5,2,1,0,0,2
3788,3314,1112,1,1,0,4,0,0
3800,338,1118,5,0,2,0,2,1
3799,2660,1119,2,1,1,3,0,0
3830,2660,1124,5,1,0,0,4,0
3833,338,1125,4,1,1,1,1,1
3837,3314,1127,5,1,3,0,0,1
868,2660,1130,2,2,0,3,0,0
3846,2660,1129,0,0,0,5,0,0
3854,338,1133,5,3,1,0,0,1
3810,3314,1121,5,3,0,0,1,1
3832,338,1126,2,1,1,3,0,0
3721,3314,1103,3,1,1,2,0,1
382,2660,1136,3,1,1,2,1,0
3853,338,1132,5,2,1,0,2,0
3121,2660,1120,3,1,1,2,1,0
3842,338,1128,5,1,2,0,1,1
1646,338,1140,4,2,1,1,0,1
3826,3314,1123,3,1,0,2,2,0
3892,2660,1137,5,1,1,0,2,1
3669,3314,1150,5,3,1,0,0,1
3966,2660,1149,0,0,0,5,0,0
3965,3314,1148,0,0,0,5,0,0
3954,2660,1143,4,2,2,1,0,0
3951,338,1141,0,0,0,5,0,0
4028,2660,1154,5,3,1,0,0,1
4010,338,1151,5,1,1,0,0,3
3529,3314,1089,3,1,1,2,0,1
4017,338,1153,5,0,1,0,1,3
298,3314,1156,0,0,0,5,0,0
643,338,1159,0,0,0,3,0,0
4045,338,1160,5,1,1,0,0,3
3961,2660,1145,2,1,1,3,0,0
4013,3314,1152,4,2,1,1,1,0
4068,1865,1163,3,0,2,0,1,0
4063,2660,1162,5,2,1,0,1,1
4035,3314,1157,5,2,1,0,0,2
4076,3314,1165,3,0,0,2,2,1
4016,3314,1171,3,0,2,2,1,0
3869,2660,1172,2,0,1,3,1,0
4073,2660,1173,0,0,0,5,0,0
4112,338,1175,5,1,0,0,2,2
4083,2660,1167,3,2,0,2,1,0
2892,4129,1169,3,0,1,2,1,1
4114,2660,1176,1,0,0,4,1,0
4081,338,1166,0,0,0,5,0,0
4088,2660,1168,3,1,0,2,2,0
4098,4128,1174,4,4,0,1,0,0
4131,338,1179,2,1,0,3,1,0
740,338,1186,3,2,0,2,1,0
4141,3314,1181,3,2,1,2,0,0
4143,3314,1182,5,2,0,0,3,0
4092,338,1170,5,2,1,0,1,1
4148,338,1183,5,1,0,0,0,4
4153,2660,1185,2,1,0,3,0,1
577,2660,1189,2,0,0,3,2,0
4155,2660,1188,5,1,0,0,1,3
900,2660,1192,2,0,0,2,1,1
3485,2660,1194,4,2,0,1,1,1
1157,338,1195,3,1,0,2,2,0
4156,3314,1187,5,3,0,0,2,0
2731,2660,1198,3,0,0,2,2,1
4218,3314,1200,2,2,0,3,0,0
4209,3314,1199,4,1,0,1,2,1
4181,338,1190,5,0,2,0,0,3
4233,3314,1201,5,2,1,0,0,2
3537,3314,1209,4,0,0,1,4,0
4237,338,1202,4,3,1,1,0,0
4024,338,1206,4,3,0,1,0,1
4201,3314,1197,5,4,1,0,0,0
1691,338,1213,4,2,2,1,0,0
4323,338,1214,3,2,1,2,0,0
4320,3314,1212,5,0,0,0,3,2
4279,2660,1211,4,3,1,1,0,0
3964,2660,1210,4,2,0,1,2,0
4340,4374,1221,3,0,2,2,0,1
1479,338,1196,5,5,0,0,0,0
4365,3314,1223,5,2,0,0,3,0
