uid,label,budget_pant,budget_westerndress,budget_top,budget_skirt,budget_kurta,budget_jacket,budget_scarf,budget_jewellery
18397,1,4,4,3,3,4,4,4,1
4106,1,3,3,2,2,3,2,2,1
1030,0,0,0,0,0,0,0,0,0
560,3,4,5,4,4,1,5,5,1
19590,1,4,4,3,3,3,3,3,1
2638,0,0,0,0,0,0,0,0,0
14293,0,0,0,0,0,0,0,0,0
17697,0,0,0,0,0,0,0,0,0
12326,0,0,0,0,0,0,0,0,0
4357,0,0,0,0,0,0,0,0,0
345,2,3,3,3,3,3,3,3,1
12074,0,0,0,0,0,0,0,0,0
17345,0,0,0,0,0,0,0,0,0
6271,1,3,3,3,3,3,4,4,1
18562,2,4,4,3,3,3,3,3,1
4038,0,0,0,0,0,0,0,0,0
10555,0,0,0,0,0,0,0,0,0
5040,1,3,2,2,2,2,3,3,1
9715,0,0,0,0,0,0,0,0,0
12029,1,4,4,3,3,3,3,3,1
12658,1,4,4,3,3,3,3,3,1
3152,0,0,0,0,0,0,0,0,0
2118,0,0,0,0,0,0,0,0,0
7059,3,4,4,4,5,4,4,4,2
7929,1,3,3,3,3,3,3,3,1
17162,0,0,0,0,0,0,0,0,0
11568,2,4,4,4,4,3,3,3,1
19105,2,4,4,3,3,3,3,3,1
14427,0,0,0,0,0,0,0,0,0
13000,4,4,4,3,3,3,4,4,1
9844,0,0,0,0,0,0,0,0,0
19784,0,0,0,0,0,0,0,0,0
18043,1,4,4,3,3,3,3,3,1
13836,0,0,0,0,0,0,0,0,0
2136,0,0,0,0,0,0,0,0,0
13513,1,4,4,3,3,3,5,5,1
15140,0,0,0,0,0,0,0,0,0
15451,1,4,4,3,3,4,3,3,1
15091,3,4,5,4,3,5,5,5,2
16784,2,4,4,3,3,3,3,3,1
18790,2,4,4,3,3,3,3,3,1
7122,0,0,0,0,0,0,0,0,0
961,1,3,4,2,3,2,3,3,1
8642,3,5,5,4,5,4,5,5,4
10640,1,3,2,3,3,3,2,2,1
13753,3,4,4,4,4,3,4,4,1
3114,1,3,3,2,2,2,3,3,1
11322,0,0,0,0,0,0,0,0,0
10202,1,4,4,4,3,4,0,0,1
151,0,1,1,1,1,1,1,1,1
19736,0,0,0,0,0,0,0,0,0
632,4,4,4,4,4,4,4,4,1
2404,2,3,2,2,2,2,2,2,1
19634,3,4,5,4,4,4,5,5,2
13481,0,0,0,0,0,0,0,0,0
19215,1,4,4,3,3,3,3,3,1
18528,1,4,4,3,3,3,3,3,1
8239,0,0,0,0,0,0,0,0,0
10197,0,0,0,0,0,0,0,0,0
9283,1,4,4,3,3,3,4,4,2
5385,3,4,3,4,3,4,5,5,2
5426,1,3,4,3,3,3,4,4,1
6395,1,3,3,3,3,3,4,4,1
8430,0,0,0,0,0,0,0,0,0
18543,2,4,4,3,3,3,3,3,1
1166,1,4,4,2,3,2,2,2,1
19744,4,4,4,3,3,3,3,3,1
1854,2,3,3,2,2,2,3,3,1
7271,2,3,4,3,3,3,4,4,1
487,1,4,3,3,3,0,0,0,0
4968,0,0,0,0,0,0,0,0,0
