uid,label,western_classic,western_feminine,western_contemporary,western_boho,indo_western,indian_traditional,indian_classic,indian_contemporary,indian_funky,clothes_work
13665,2,2.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,12
15242,4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
16447,3,3.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,1.0,6
14383,4,2.0,3.0,3.0,3.0,4.0,2.0,2.6,2.4,2.6,3
5269,3,1.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,1.0,6
7746,0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0
10975,4,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3
2158,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3
8832,2,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,12
6138,4,2.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,3
3866,3,2.0,2.0,3.0,2.0,2.0,2.0,2.6,2.4,2.6,6
4375,4,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3
6330,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3
19193,2,2.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,12
5718,4,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3
4414,3,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,6
8888,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12
2837,1,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,12
7135,2,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,12
205,0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,3
6633,0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3
12337,2,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,12
7925,4,3.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3
19484,3,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,6
18220,0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,3
5087,1,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,12
12162,2,3.0,1.0,2.0,1.0,1.0,2.0,2.6,2.4,2.6,12
9499,2,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,12
11120,1,4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,12
11211,0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3
3235,1,2.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,12
1907,0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0
12438,3,1.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,6
2323,4,2.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3
5307,4,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3
13497,4,2.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3
15320,4,4.0,4.0,4.0,4.0,4.0,2.0,2.6,2.4,2.6,3
11997,0,1.0,2.0,1.0,1.0,4.0,2.0,2.6,2.4,2.6,3
14362,2,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,12
11164,2,2.0,3.0,1.0,2.0,1.0,2.0,2.6,2.4,2.6,12
14160,4,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3
