u_id,s_id,o_id,return_count,returns nms,return_count similar,nonreturn_count,return_shape
7178,3314,2026,2,1,0,3,0
15643,3314,3486,5,1,0,0,4
7877,3314,2183,4,3,0,1,0
3333,3314,1361,3,1,1,2,1
14340,3314,3323,1,0,1,3,0
4635,3314,1289,3,2,0,2,1
15616,3314,3509,5,0,2,0,0
14139,3314,3287,3,1,0,2,0
4958,3314,1445,5,4,1,2,0
1828,3314,2618,5,2,1,1,2
8883,3314,2608,4,3,1,1,0
7243,3314,2042,5,5,0,0,0
4365,3314,1223,5,2,0,0,3
18413,3314,4126,5,2,0,0,2
12489,3314,3060,5,2,2,0,0
6886,3314,1969,5,3,0,0,0
9788,3314,3612,4,1,1,1,1
520,3314,1631,4,2,2,2,0
7367,3314,2077,3,1,0,1,2
1915,3314,3137,2,0,1,3,1
9782,3314,2652,5,3,1,0,1
643,3314,3929,4,3,0,1,1
5875,3314,1774,5,3,0,0,0
10659,3314,3207,4,2,0,1,1
3717,3314,1593,5,0,1,0,2
1434,3314,3953,3,1,0,2,1
16946,3314,3913,4,4,0,1,0
3408,3314,1330,0,0,0,5,0
4997,3314,1454,5,1,0,0,2
7986,3314,2335,5,2,1,0,2
6389,3314,1894,4,1,0,1,3
1151,3314,2480,2,0,2,3,0
12628,3314,3099,2,2,0,3,0
3424,3314,1033,0,0,0,5,0
708,3314,2682,5,3,0,0,0
3837,3314,1127,5,1,3,0,0
9805,3314,2660,5,4,1,0,0
12727,3314,3109,3,2,1,2,0
3826,3314,1123,3,1,0,2,2
1730,3314,1573,5,2,1,0,1
14643,3314,4247,5,0,2,0,0
14239,3314,3303,3,3,0,0,0
502,3314,1559,4,1,0,1,3
5211,3314,1800,1,0,1,5,0
2230,3314,1691,1,0,0,4,1
7271,3314,2050,2,0,2,3,0
4843,3314,1629,4,2,1,2,0
10306,3314,4236,0,0,0,5,0
4940,3314,1460,5,1,1,0,2
16901,3314,3910,5,1,1,0,1
310,3314,1464,3,1,0,2,2
840,3314,1449,4,1,0,2,3
1926,3314,2221,5,2,1,0,1
6888,3314,3366,2,0,0,3,1
606,3314,3681,5,1,0,0,0
3660,3314,1098,5,0,3,0,1
7912,3314,2186,5,2,1,0,0
18960,3314,4237,0,0,0,5,0
18585,3314,4163,3,0,0,2,1
14673,3314,3405,4,2,1,1,0
7585,3314,2401,4,0,1,1,0
9480,3314,2586,5,0,0,0,5
6217,3314,1846,6,2,1,0,1
17309,3314,3898,5,3,1,0,0
4541,3314,1506,3,0,1,2,2
3840,3314,1658,5,3,1,1,0
4443,3314,1240,4,1,1,1,2
14564,3314,3372,5,2,1,0,0
7785,3314,2170,5,0,2,0,3
661,3314,2212,5,5,0,0,0
9705,3314,2633,2,2,0,3,0
9217,3314,2814,4,1,2,2,0
17199,3314,3831,5,0,1,0,2
4368,3314,1980,1,0,1,4,0
17867,3314,3999,5,0,0,0,0
5613,3314,1705,5,2,1,0,2
3522,3314,1061,4,2,0,1,2
4076,3314,1165,3,0,0,2,2
3741,3314,1766,3,2,0,3,0
6768,3314,1951,5,0,0,0,5
4764,3314,1391,4,2,0,1,1
18040,3314,4046,4,0,0,1,0
2675,3314,2080,5,5,0,0,0
4156,3314,1187,5,3,0,0,2
1893,3314,1611,3,1,0,2,2
17658,3314,3992,5,2,0,0,0
10066,3314,2718,2,0,0,3,2
2134,3314,1275,2,0,1,3,1
16444,3314,3741,0,0,0,5,0
4356,3314,1243,5,0,1,0,0
12017,3314,3146,5,5,0,0,0
1664,3314,1565,3,0,0,2,2
963,3314,2120,5,5,0,0,0
2267,3314,1455,2,1,1,3,0
3629,3314,1091,3,2,0,2,0
3965,3314,1148,0,0,0,5,0
269,3314,3190,2,2,0,3,0
14826,3314,3387,5,0,0,0,1
17692,3314,3934,4,1,1,1,2
1599,3314,2671,3,1,1,2,1
12259,3314,3571,5,2,2,0,1
4333,3314,1323,3,1,0,2,2
11346,3314,3490,5,0,1,0,0
7750,3314,2311,4,1,0,1,1
5485,3314,3189,5,1,0,0,3
2106,3314,4022,5,5,0,0,0
12740,3314,3112,4,1,0,1,0
7152,3314,2053,3,3,0,2,0
3131,3314,2065,3,1,0,1,0
4519,3314,1261,5,2,1,0,1
4776,3314,1369,0,0,0,5,0
1350,3314,1084,3,3,0,2,0
2054,3314,1380,5,2,1,0,2
2301,3314,2247,4,4,0,1,0
15889,3314,3549,5,2,0,0,2
5408,3314,1647,4,4,0,1,0
12379,3314,4041,3,0,0,1,1
16574,3314,3691,5,2,2,0,0
1458,3314,3860,5,3,0,0,0
4939,3314,2031,2,2,0,3,0
15815,3314,3553,5,1,1,0,1
4201,3314,1197,5,4,1,0,0
10114,3314,2736,5,1,0,0,0
4320,3314,1212,5,0,0,0,3
5759,3314,1741,4,4,0,0,0
18766,3314,4318,0,0,0,5,0
14630,3314,3411,5,5,0,0,0
4800,3314,1476,5,3,1,0,1
5876,3314,1775,3,1,0,2,0
9055,3314,2573,2,1,1,3,0
18699,3314,4188,5,2,0,0,0
2490,3314,1104,3,0,0,2,3
1383,3314,2365,4,0,1,1,2
7105,3314,2003,4,2,1,1,0
2471,3314,1471,5,0,0,0,5
3165,3314,1693,2,1,1,4,0
4385,3314,1233,5,1,2,0,0
6585,3314,3832,5,3,0,0,1
1423,3314,1527,4,3,0,1,1
5815,3314,1761,2,0,1,4,1
4579,3314,1276,1,1,0,4,0
611,3314,3314,3,2,1,2,0
10000,3314,2705,4,2,1,1,0
7351,3314,2073,4,2,0,0,0
18509,3314,4136,5,1,2,0,1
669,3314,1590,4,2,0,1,1
18540,3314,4151,2,1,0,2,0
2137,3314,1049,4,1,0,1,2
8915,3314,2535,3,0,2,2,0
7513,3314,2122,4,0,0,0,0
3286,3314,1026,2,0,2,3,0
2856,3314,1984,2,1,1,3,0
7246,3314,2300,5,4,0,0,1
5212,3314,1607,3,3,0,2,0
14621,3314,3533,4,1,0,1,1
14879,3314,3391,5,1,0,0,1
5819,3314,1773,4,1,0,1,2
777,3314,1308,5,5,0,0,0
3481,3314,2253,3,2,1,2,0
5261,3314,1598,5,1,0,0,0
7332,3314,2070,3,0,1,2,2
7171,3314,2025,5,5,0,0,0
298,3314,1156,0,0,0,5,0
18191,3314,4190,4,3,0,1,0
4818,3314,1387,3,0,2,2,1
5589,3314,1983,4,2,0,1,1
4533,3314,1263,5,1,0,0,4
981,3314,2022,5,1,0,0,4
1204,3314,2502,2,2,0,3,0
14650,3314,3426,5,5,0,0,0
4994,3314,1453,5,3,0,0,0
5591,3314,2149,5,5,0,0,0
6233,3314,1855,5,1,3,0,0
14447,3314,3329,5,5,0,0,0
909,3314,1349,4,1,1,1,2
5158,3314,1541,5,3,1,1,1
15334,3314,4324,0,0,0,5,0
10929,3314,3081,4,2,0,1,2
9855,3314,2677,4,1,0,1,3
4925,3314,1519,6,5,0,2,1
775,3314,1847,2,0,1,4,0
6716,3314,2045,5,2,1,0,1
2227,3314,1054,2,0,1,3,1
13371,3314,3344,4,1,0,0,1
5544,3314,1797,2,0,1,3,0
14675,3314,3410,5,0,3,0,2
8094,3314,2229,3,1,2,2,0
4849,3314,1547,5,1,3,0,0
1907,3314,2000,5,5,0,0,0
505,3314,1549,5,5,0,0,0
18742,3314,4196,5,2,0,0,0
7641,3314,2150,2,0,2,3,0
17306,3314,3894,5,0,0,0,0
4035,3314,1157,5,2,1,0,0
4871,3314,1600,2,0,1,3,1
2129,3314,1852,1,1,0,4,0
15974,3314,3594,5,4,1,0,0
4055,3314,2665,0,0,0,5,0
7241,3314,2068,5,4,0,0,1
16930,3314,3907,0,0,0,5,0
9725,3314,2641,5,4,0,0,0
15038,3314,4026,4,0,1,1,1
5803,3314,1767,6,2,1,0,3
5383,3314,1641,5,3,1,0,0
407,3314,2271,3,2,0,2,1
3529,3314,1089,3,1,1,2,0
434,3314,1303,5,0,0,0,3
11518,3314,3094,0,0,0,5,0
14498,3314,3348,4,2,1,1,1
9305,3314,2546,4,1,0,1,2
6192,3314,1838,5,0,0,0,4
8162,3314,2241,5,5,0,0,0
1316,3314,3630,3,0,0,2,3
5793,3314,1756,3,3,0,4,0
14526,3314,3357,5,0,0,0,5
15304,3314,4028,5,3,1,0,0
9037,3314,2492,4,2,1,1,1
4332,3314,1216,3,1,0,2,1
4218,3314,1200,2,2,0,3,0
19360,3314,4349,0,0,0,5,0
5066,3314,1488,5,1,0,0,0
2139,3314,1918,4,0,0,1,0
2210,3314,1499,3,1,0,2,2
8207,3314,2261,5,1,1,0,1
4790,3314,1374,5,1,2,0,2
2133,3314,1108,3,0,0,2,3
4141,3314,1181,3,2,1,2,0
3984,3314,1260,3,2,0,2,0
1690,3314,3942,5,2,1,0,2
5695,3314,1721,4,1,1,1,2
9851,3314,2666,5,0,2,0,1
5547,3314,1689,5,2,2,0,1
18008,3314,4219,0,0,0,5,0
19270,3314,4329,0,0,0,4,0
8858,3314,2418,4,1,0,1,1
8378,3314,2286,5,2,2,0,1
4340,3314,2397,4,1,2,1,0
5420,3314,1654,4,1,1,1,2
8539,3314,2321,2,1,0,2,1
11659,3314,3483,5,4,0,0,0
4789,3314,1373,0,0,0,5,0
1321,10152,3855,3,1,1,2,0
